model,location,asof,replicate,horizon,y,q50,w95,c95,r_star,w_shrink,clipped
member,Pennsylvania,2026-02-04,1,2,524.0,596.890558413329,671.7357694996399,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,1,3,549.0,547.3056060686481,676.4603734494628,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,1,4,501.0,493.04282803107276,726.0453257941435,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,1,1,612.0,613.730730907749,739.1198486057838,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,1,2,524.0,551.9834317615425,871.9467091555214,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,1,3,549.0,487.4294371995994,988.8923514778822,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,1,4,501.0,422.8754426376563,1096.5291206713823,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,2,1,612.0,634.2671714763393,676.883443837213,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,2,2,524.0,600.4704535801548,667.6009206342198,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,2,3,549.0,562.0440483009313,671.3046705406512,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-02-04,2,4,501.0,511.1174870875026,737.0462313798045,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,2,1,612.0,620.9826292060452,740.568127315463,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,2,2,524.0,563.518565010859,869.4220228757168,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,2,3,549.0,506.0545008156727,1040.8410337289386,1.0,0.975339411588088,0.4216999966597206,False
control,Pennsylvania,2026-02-04,2,4,501.0,446.7367571303191,1131.7176707343897,1.0,0.975339411588088,0.4216999966597206,False
member,Pennsylvania,2026-03-04,0,1,406.0,451.014055230851,458.74572474909417,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,0,2,384.0,423.6954895997252,444.339047213434,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,0,3,446.0,392.76881152675253,440.1897179053106,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,0,1,406.0,438.12793936711245,500.0070677447851,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,0,2,384.0,386.583475912158,573.20020585082,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,0,3,446.0,341.22434807179815,674.2273542225311,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,1,1,406.0,450.9751350225367,474.2569791568276,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,1,2,384.0,427.71856976352694,464.1454290442147,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,1,3,446.0,398.39507443694947,492.4324904842497,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,1,1,406.0,441.20176971416885,521.9709724078382,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,1,2,384.0,393.7498631316381,662.3327024639301,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,1,3,446.0,355.3844918521452,814.7593321723896,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,2,1,406.0,445.548040911603,447.6610029323192,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,2,2,384.0,418.41865200363657,421.5750520592745,1.0,0.9611774519998614,0.4192909246684611,False
member,Pennsylvania,2026-03-04,2,3,446.0,385.02863488613934,416.3317759337929,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,2,1,406.0,429.8964703877762,471.6339917846476,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,2,2,384.0,375.6376925718433,508.1543230069102,1.0,0.9611774519998614,0.4192909246684611,False
control,Pennsylvania,2026-03-04,2,3,446.0,325.5526668955975,563.4565388577649,1.0,0.9611774519998614,0.4192909246684611,False
member,North Carolina,2026-01-07,0,1,222.0,240.97631423456977,287.97169501890494,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,0,2,204.0,251.97523314154182,308.9696311140334,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,0,3,173.0,263.9740537673295,348.9656998666592,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,0,4,170.0,274.9729726743016,429.9577390907261,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,0,1,222.0,259.97444689206696,360.9645204924468,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,0,2,204.0,316.96884486455855,602.9907315317726,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,0,3,173.0,376.9629479934971,950.9565296796156,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,0,4,170.0,440.9566579976982,1356.8666324328262,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,1,1,222.0,242.42900098915473,280.20917624576344,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,1,2,204.0,255.34530022218345,307.0104971542984,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,1,3,173.0,271.2422838936034,344.7658333739208,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,1,4,170.0,282.17146016770465,420.2765058131657,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,1,1,222.0,264.9529238940905,350.2935660472432,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,1,2,204.0,328.4622389848088,613.2618238447487,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,1,3,173.0,402.8872176067443,993.3253813407661,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,1,4,170.0,483.26619451843465,1446.8712010628403,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,2,1,222.0,240.56782065183248,281.6648233465205,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,2,2,204.0,253.59857760380675,300.7348349627748,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,2,3,173.0,265.6269686363984,355.8649605288198,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-01-07,2,4,170.0,276.65299374960733,415.0045497723952,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,2,1,222.0,257.5645051588663,353.7753708991432,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,2,2,204.0,312.68531365589996,596.3069282860912,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,2,3,173.0,372.817104743573,975.1873219643371,1.0,1.0450643174033951,0.4056060175047467,False
control,North Carolina,2026-01-07,2,4,170.0,437.9598784218855,1380.1248251139086,1.0,1.0450643174033951,0.4056060175047467,False
member,North Carolina,2026-02-04,0,1,158.0,154.34580578687977,179.1173548637864,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,0,2,177.0,146.7237906862931,173.4008435383464,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,0,3,215.0,137.19627181055978,176.2829179982554,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,0,4,202.0,124.81049727210647,188.668692536709,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,0,1,158.0,150.40220217131662,195.14209775392348,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,0,2,177.0,136.12351209176126,231.3147792887971,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,0,3,215.0,120.8929093402355,275.1027621994336,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,0,4,202.0,105.66230658870978,309.37161839036645,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,1,1,158.0,159.3205254364148,183.26465064651183,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,1,2,177.0,156.5577417583267,191.55300168077616,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,1,3,215.0,153.7949580802386,209.05063164200095,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,1,4,202.0,148.72985467041036,241.28310788636233,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,1,1,158.0,158.29184436160017,209.85173145670828,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,1,2,177.0,153.69033725806528,266.8874120050235,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,1,3,215.0,150.00913157523738,353.3957455514795,1.0,0.9906115554966872,0.4011172112871904,False
control,North Carolina,2026-02-04,1,4,202.0,144.4873230509955,450.97070368193647,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,2,1,158.0,155.4617284390532,185.0519132539098,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,2,2,177.0,150.6929637630086,186.93557530094736,1.0,0.9906115554966872,0.4011172112871904,False
member,North Carolina,2026-02-04,2,3,215.0,142.10918734612838,202.19562226429002,1.0,0.9906115554966872,0.4011172112871904,False
