season,asof,location,gamma,g_raw,w,g_hat,r_star_raw,r_star,clipped_low,clipped_high,reason
2023-24,2023-10-21,Alaska,2.1875,0.4054651081081646,0.25506072874493924,0.10341822595471403,1.0472769032935836,1.0472769032935836,False,False,ok
2023-24,2023-10-21,California,2.1875,-0.3220834991691137,0.3580076098235904,-0.11530834370115277,0.9472876143080444,0.9472876143080444,False,False,ok
2023-24,2023-10-21,New York,2.1875,0.3528213746227422,0.3118651393991787,0.11003268717973134,1.0503006569964486,1.0503006569964486,False,False,ok
2023-24,2023-10-21,Pennsylvania,2.1875,0.04652001563489261,0.33854421104054716,0.015749081990708638,1.0071995803386096,1.0071995803386096,False,False,ok
2023-24,2023-10-21,Vermont,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-10-21,Wyoming,2.1875,0.2231435513142097,0.12,0.026777226157705163,1.0122410176720937,1.0122410176720937,False,False,ok
2023-24,2023-10-28,Alaska,2.1875,0.35667494393873245,0.29302325581395344,0.1045140533401867,1.047777852955514,1.047777852955514,False,False,ok
2023-24,2023-10-28,California,2.1875,0.3586338084240652,0.36004642016698357,0.12912481887393648,1.0590284886280852,1.0590284886280852,False,False,ok
2023-24,2023-10-28,New York,2.1875,0.21772348384487072,0.3351713272942103,0.07297466906340487,1.0333598487146993,1.0333598487146993,False,False,ok
2023-24,2023-10-28,Pennsylvania,2.1875,0.15082288973458358,0.3436334576451785,0.05182779109153245,1.0236927044989863,1.0236927044989863,False,False,ok
2023-24,2023-10-28,Vermont,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-10-28,Wyoming,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-11-04,Alaska,2.1875,0.06453852113757108,0.3130434782608695,0.020203363138717897,1.009235823149128,1.009235823149128,False,False,ok
2023-24,2023-11-04,California,2.1875,0.25423413838424125,0.37809665628807365,0.09612507763736101,1.0439428926342222,1.0439428926342222,False,False,ok
2023-24,2023-11-04,New York,2.1875,0.17185025692665912,0.3514902363823227,0.0604036874295143,1.0276131142534923,1.0276131142534923,False,False,ok
2023-24,2023-11-04,Pennsylvania,2.1875,-0.24846135929849966,0.33991865194654264,-0.08445665031355158,0.9613912455709479,0.9613912455709479,False,False,ok
2023-24,2023-11-04,Vermont,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-11-04,Wyoming,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-11-11,Alaska,2.1875,0.16705408466316607,0.3247539742619227,0.054251477911050894,1.0248006756164805,1.0248006756164805,False,False,ok
2023-24,2023-11-11,California,2.1875,0.8197798314933111,0.39597627631119897,0.3246133650697435,1.1483946811747399,1.1483946811747399,False,False,ok
2023-24,2023-11-11,New York,2.1875,0.4342855466436566,0.36781384434884623,0.15973623645614352,1.0730222795228084,1.0730222795228084,False,False,ok
2023-24,2023-11-11,Pennsylvania,2.1875,0.743157601134607,0.3523837508264159,0.26187666294297435,1.1197150459167884,1.1197150459167884,False,False,ok
2023-24,2023-11-11,Vermont,2.1875,0.0,0.0,0.0,1.0,1.0,False,False,nonpositive_or_missing
2023-24,2023-11-11,Wyoming,2.1875,1.6094379124341003,0.05454545454545454,0.08778752249640547,1.0401314388554996,1.0401314388554996,False,False,ok
2023-24,2023-11-18,Alaska,2.1875,-0.8303483020734301,0.28905682313617204,-0.24001784229386025,0.890277557808521,0.890277557808521,False,False,ok
2023-24,2023-11-18,California,2.1875,0.4799981599707319,0.41157521453127954,0.19755534566457342,1.0903110151609479,1.0903110151609479,False,False,ok
2023-24,2023-11-18,New York,2.1875,0.29334780998745824,0.3849347568208778,0.1129197679014593,1.0516204653263814,1.0516204653263814,False,False,ok
2023-24,2023-11-18,Pennsylvania,2.1875,0.0819171224678863,0.37796498981459103,0.03096180435921525,1.01415396770707,1.01415396770707,False,False,ok
2023-24,2023-11-18,Vermont,2.1875,0.916290731874155,0.08571428571428572,0.07853920558921329,1.0359036368407832,1.0359036368407832,False,False,ok
2023-24,2023-11-18,Wyoming,2.1875,0.47000362924573547,0.15,0.07050054438686032,1.032228820291136,1.032228820291136,False,False,ok
2023-24,2023-11-25,Alaska,2.1875,-0.19415601444095776,0.245698554714384,-0.04770385213724839,0.9781925247372579,0.9781925247372579,False,False,ok
2023-24,2023-11-25,California,2.1875,0.16532398042538343,0.416227451562616,0.06881237905464516,1.0314570875678377,1.0314570875678377,False,False,ok
2023-24,2023-11-25,New York,2.1875,0.2876820724517817,0.3963480128893663,0.11402221776015836,1.0521244424046439,1.0521244424046439,False,False,ok
2023-24,2023-11-25,Pennsylvania,2.1875,0.33967736757016187,0.38612830450627633,0.1311590460190218,1.0599584210372672,1.0599584210372672,False,False,ok
2023-24,2023-11-25,Vermont,2.1875,-0.5108256237659905,0.10588235294117648,-0.05408741898698723,0.9752743227488059,0.9752743227488059,False,False,ok
2023-24,2023-11-25,Wyoming,2.1875,0.9382696385929301,0.22755588127519236,0.21350877448377045,1.0976040111925807,1.0976040111925807,False,False,ok
2023-24,2023-12-02,Alaska,2.1875,0.06899287148695166,0.23954372623574144,0.01652680951968804,1.007555112923286,1.007555112923286,False,False,ok
2023-24,2023-12-02,California,2.1875,0.3388005263808038,0.41901283148174795,0.14196176786632725,1.064896808167464,1.064896808167464,False,False,ok
2023-24,2023-12-02,New York,2.1875,0.6675412296547742,0.4087197427221514,0.2728372796409279,1.1247256135501384,1.1247256135501384,False,False,ok
2023-24,2023-12-02,Pennsylvania,2.1875,0.5966362801791014,0.40020215791824354,0.23877512681999014,1.1091543436891382,1.1091543436891382,False,False,ok
2023-24,2023-12-02,Vermont,2.1875,0.0,0.08910891089108912,0.0,1.0,1.0,False,False,ok
2023-24,2023-12-02,Wyoming,2.1875,0.08338160893905089,0.2901597981497056,0.024193990819152696,1.0110601100887555,1.0110601100887555,False,False,ok
2023-24,2023-12-09,Alaska,2.1875,-0.3101549283038394,0.2255125284738041,-0.06994382210041025,0.9680256813255268,0.9680256813255268,False,False,ok
2023-24,2023-12-09,California,2.1875,0.2222435962512197,0.42206029103554904,0.09380019691457685,1.0428800900180923,1.0428800900180923,False,False,ok
2023-24,2023-12-09,New York,2.1875,0.43121760421057864,0.4171723957325196,0.1798920810305645,1.0822363798996866,1.0822363798996866,False,False,ok
2023-24,2023-12-09,Pennsylvania,2.1875,0.26101382536961903,0.4103645090154364,0.10711081029404458,1.0489649418487061,1.0489649418487061,False,False,ok
2023-24,2023-12-09,Vermont,2.1875,0.980829253011726,0.11842105263157895,0.11615083259349387,1.0530975234713116,1.0530975234713116,False,False,ok
2023-24,2023-12-09,Wyoming,2.1875,0.6931471805599454,0.3157894736842105,0.21888858333471958,1.1000633523815861,1.1000633523815861,False,False,ok
2023-24,2023-12-16,Alaska,2.1875,-1.2527629684953678,0.1510791366906475,-0.18926634775829299,0.9134782410247804,0.9134782410247804,False,False,ok
2023-24,2023-12-16,California,2.1875,0.18316937371629383,0.4229364965966748,0.07746901320337636,1.0354144060358292,1.0354144060358292,False,False,ok
