model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,36,2023-10-14,2,22.44481662733403,56.0,281.6484357366004,1.0,166.04667083358433,1.0,106.64389550391122,1.0,66.27113669228625,1.0,47.123180623593285,0.0,35.66732756088299,0.0,26.719283514922658,0.0,20.44007997158299,0.0,14.71163492169167,0.0,9.45740238114598,0.0,4.5209393621100045,0.0,21.1788294495
adaptive,2023-24,36,2023-10-14,3,44.71028404001567,88.0,346.1780319299583,1.0,207.5546284939844,1.0,135.1261884409736,1.0,78.2055233695349,0.0,53.32194775195562,0.0,38.28096140220182,0.0,28.521995692668362,0.0,21.32877910078225,0.0,15.241682889654676,0.0,9.82677196360537,0.0,4.644192185897177,0.0,31.8983947561
adaptive,2023-24,42,2023-10-14,0,5.125131166214234,38.0,168.07832848912904,1.0,121.39526937362601,1.0,91.30739759597806,1.0,64.45650272507741,1.0,49.69948978881059,1.0,39.1449132730053,1.0,31.049876681180162,1.0,23.888570310314932,1.0,17.063900230635607,1.0,11.0706720063314,1.0,5.125429815564928,1.0,8.6632759954
adaptive,2023-24,42,2023-10-14,1,9.976794303012557,49.0,426.5895080936339,1.0,261.67042924056034,1.0,170.60225714983397,1.0,106.39843673219849,1.0,76.95781088595933,1.0,59.30222176990205,1.0,45.2891127531739,1.0,33.47614380169105,1.0,24.22084073716183,1.0,16.060141393539396,0.0,7.798556060480106,0.0,12.7573403443
adaptive,2023-24,42,2023-10-14,2,13.096081703484703,30.0,1050.7474878818289,1.0,570.3395858395045,1.0,328.0944612785487,1.0,179.16226279226368,1.0,119.76454261394876,1.0,85.31950115317804,1.0,63.44474621572492,1.0,46.65087220715266,1.0,33.06805791838097,1.0,21.078935579020452,1.0,10.141558110293893,1.0,16.0376985275
adaptive,2023-24,42,2023-10-14,3,30.675073412934253,81.0,1986.4487762017734,1.0,1105.1645983159551,1.0,614.3221052832107,1.0,301.14177586346705,1.0,184.17572519624053,1.0,124.44814122058332,1.0,87.50612576626351,1.0,63.13225174002736,0.0,43.56920502010472,0.0,27.408781494670638,0.0,13.275614394898458,0.0,25.0913344199
adaptive,2023-24,56,2023-10-14,0,1.364557200662206,4.0,74.08572680255597,1.0,44.476867998829526,1.0,29.140016964750377,1.0,18.412533888449982,1.0,13.645225627126129,1.0,9.860888753936376,1.0,7.717263208599579,1.0,5.441673496152726,1.0,4.511590174760694,1.0,2.334714039203877,1.0,0.8377084044149883,1.0,1.2512767295
adaptive,2023-24,56,2023-10-14,2,3.6314776276945824,1.0,161.04223519508915,1.0,104.2905870317382,1.0,69.78267220506011,1.0,43.21667396815765,1.0,30.341196165958078,1.0,21.997367220319607,1.0,16.67934524372194,1.0,12.136478466383231,0.0,9.07596601636541,0.0,5.402084246019707,0.0,3.0478351301918263,0.0,2.829863488
adaptive,2023-24,56,2023-10-14,3,3.0835022663449565,5.0,152.60166778908751,1.0,97.23751642835472,1.0,66.71530199824429,1.0,43.21667396815765,1.0,30.673702068158292,1.0,23.00527655111872,1.0,16.878848785042067,1.0,12.35250490291533,1.0,8.451893363853543,1.0,5.309709329042663,1.0,2.3679646294238985,1.0,1.7351655852
adaptive,2023-24,02,2023-10-21,0,4.459723610507201,30.0,140.86345169304937,1.0,100.7004784528535,1.0,75.30355485199166,1.0,53.626848661787434,1.0,41.065232751922544,1.0,32.43105554399794,1.0,25.38267078714779,1.0,19.11483478058625,1.0,14.209296116930794,1.0,9.021756830155368,1.0,4.881602031700886,0.0,10.5616512712
