model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,42,2023-10-14,1,10.249054747566156,49.0,434.3648333278659,1.0,259.7827243527131,1.0,173.75540367677564,1.0,111.66849860232882,1.0,81.21345352896641,1.0,61.1309713447678,1.0,46.86980228090269,1.0,35.530885918922806,1.0,25.379204227802006,1.0,16.80039750072376,0.0,8.118210136022284,0.0,12.7573403443
adaptive,2023-24,42,2023-10-14,2,13.597982731577574,30.0,1104.292991008729,1.0,569.5137229143403,1.0,333.58407814002214,1.0,187.82985568720787,1.0,125.92230163408072,1.0,89.33479888186305,1.0,65.95497072565094,1.0,48.7025984802757,1.0,34.51571774981073,1.0,22.32507787406128,1.0,11.151565677970389,1.0,16.0376985275
adaptive,2023-24,42,2023-10-14,3,30.84769163216838,81.0,1924.2245083909675,1.0,1062.5417827429342,1.0,619.2868933324371,1.0,318.47248855532354,1.0,197.88137206554316,1.0,131.97186198457044,1.0,92.34464029725348,1.0,65.1700665181711,0.0,44.83024479959319,0.0,27.91348811088181,0.0,13.207767555407997,0.0,25.0913344199
adaptive,2023-24,56,2023-10-14,0,1.2449831041612236,4.0,71.84990276475222,1.0,41.17862251274031,1.0,27.03435687147558,1.0,16.993024319213223,1.0,11.59420247353585,1.0,9.164278483903814,1.0,6.738320047539324,1.0,5.334425616735421,1.0,3.1607646917820085,1.0,2.3172305889836213,1.0,0.8046083107988493,0.0,1.2512767295
adaptive,2023-24,56,2023-10-14,2,2.685179200602051,1.0,158.7248722309263,1.0,99.36688680231688,1.0,64.11485878483532,1.0,37.43511137521847,1.0,25.489536478819836,1.0,18.34465602504312,1.0,13.130973337573854,1.0,8.984426730052432,1.0,6.187331099240734,1.0,3.743511137521847,0.0,2.276982945894902,0.0,2.829863488
adaptive,2023-24,56,2023-10-14,3,2.834743719926245,5.0,146.0004150232158,1.0,94.33648066555054,1.0,61.413544307901574,1.0,37.43511137521847,1.0,26.204577962652927,1.0,18.53784471186897,1.0,13.476640095078647,1.0,9.7331289575568,1.0,6.1305437818868,1.0,3.870100510257113,0.0,1.5922363303027565,0.0,1.7351655852
adaptive,2023-24,02,2023-10-21,0,4.521100024787644,30.0,149.37363447518698,1.0,104.2085883223466,1.0,77.90071412592917,1.0,54.68371466420169,1.0,41.59927865606438,1.0,33.01658243876328,1.0,25.794205030283813,1.0,19.632063254390722,1.0,14.42261348144503,1.0,9.27168009521466,1.0,4.165029380012108,0.0,10.5616512712
adaptive,2023-24,02,2023-10-21,1,7.683955833567726,33.0,298.7484632990408,1.0,205.3029171983124,1.0,149.6063891756461,1.0,101.06273747138789,1.0,75.31907868842873,1.0,58.243440267440405,1.0,45.20181692073344,1.0,33.96611139378011,1.0,24.014991269062303,1.0,15.47652301817029,1.0,8.020298881304466,1.0,11.9986689142
adaptive,2023-24,02,2023-10-21,2,10.489529627650853,39.0,367.4933757708056,1.0,266.8008624684534,1.0,199.33860013850727,1.0,134.95124267650152,1.0,101.9173828034335,1.0,78.89457264164703,1.0,60.77954965773606,1.0,45.8259015063215,1.0,33.96136682188427,1.0,21.667132225438404,1.0,10.7022523381751,1.0,15.90756563
adaptive,2023-24,02,2023-10-21,3,13.841576593000626,17.0,337.37820764230236,1.0,254.84674569920406,1.0,194.7021189515773,1.0,137.23307838093626,1.0,104.8467346948204,1.0,82.39911894003308,1.0,64.3818963048456,1.0,48.92436134294057,0.0,36.33302687444271,0.0,23.69429357665969,0.0,11.41895130339628,0.0,2.7619369582
adaptive,2023-24,06,2023-10-21,0,16.134785596391406,76.0,189.93967334936545,1.0,137.71189045665727,1.0,103.24410118665496,1.0,73.42518250104668,1.0,56.75963052605469,1.0,44.97292428189108,0.0,35.029248616900794,0.0,27.44024138589875,0.0,19.358268972497804,0.0,12.905512648331872,0.0,6.452756324165932,0.0,16.3225637941
adaptive,2023-24,06,2023-10-21,1,29.312617116583652,97.0,352.6974149301274,1.0,234.17493274010604,1.0,164.24476278772508,1.0,107.19426493179553,1.0,79.77374250543646,1.0,62.132643894444676,0.0,47.726368625680344,0.0,35.67855749720223,0.0,26.2111577745276,0.0,17.06062634889996,0.0,8.29640098821335,0.0,28.1112503544
adaptive,2023-24,06,2023-10-21,2,122.69624374632656,231.0,572.4435595814294,1.0,357.01391970829695,1.0,235.41289382117765,1.0,146.56975079176908,0.0,105.00058664529831,0.0,77.44572335140413,0.0,58.99662924951711,0.0,44.048213408121455,0.0,31.870427561414658,0.0,20.470686419232845,0.0,9.761012205652207,0.0,91.4451463622
