location,fips,asof,horizon,wis_2s,base_wis,rel_2s,season,wis_pf,rel_pf
New Jersey,34,2023-10-07,2,16.51265393955448,17.27161876573113,0.9560571110055692,2023-24,17.239213364164158,0.998123777394203
New Jersey,34,2023-10-07,3,9.444864336758874,12.431016626470617,0.7597821337192142,2023-24,8.860827032945538,0.7127998698093031
New Mexico,35,2023-10-07,0,1.0756329453843612,3.099353117313782,0.347050789203592,2023-24,1.0157004279571107,0.32771368395654804
New Mexico,35,2023-10-07,1,1.6215139968232353,4.367057174397834,0.37130587763528033,2023-24,1.4888842212555615,0.3409353626016727
New Mexico,35,2023-10-07,2,1.8554467826851517,5.165900177827865,0.3591720162632569,2023-24,1.5145147870730715,0.29317538762622547
New Mexico,35,2023-10-07,3,3.9692771707613526,5.926917366782363,0.669703477394053,2023-24,4.103250913710385,0.6923077646918468
New York,36,2023-10-07,0,7.825536884406735,16.10469403089681,0.48591652032590404,2023-24,8.731091188577267,0.5421457353878747
New York,36,2023-10-07,1,8.425422821277355,17.719404261781726,0.4754913143129655,2023-24,10.597976371263576,0.5981000385053535
New York,36,2023-10-07,2,10.475149282958517,20.609405680556836,0.5082703230419158,2023-24,12.975813322967182,0.6296063808966953
New York,36,2023-10-07,3,13.60456612800657,24.808818232117094,0.5483762265787542,2023-24,15.921147340559564,0.6417535568037781
North Carolina,37,2023-10-07,0,22.01867827788009,5.465095556281648,4.028964919482799,2023-24,21.023270605714714,3.8468258037227376
North Carolina,37,2023-10-07,1,44.77740007118069,6.8236445487715685,6.562094457168315,2023-24,41.63994491309849,6.1023027526536024
North Carolina,37,2023-10-07,2,70.95881760111627,8.450226555156856,8.397268065885495,2023-24,64.2405021646409,7.602222466501485
North Carolina,37,2023-10-07,3,75.23116597323443,16.211308530172253,4.640659687231,2023-24,68.19890984556716,4.206872611093443
Ohio,39,2023-10-07,0,3.4957254120489964,6.019959330419387,0.5806892073813168,2023-24,3.4065697503270576,0.5658791967436323
Ohio,39,2023-10-07,1,4.798132300598334,7.883015585025412,0.6086671082717219,2023-24,4.599701743061379,0.5834951984363673
Ohio,39,2023-10-07,2,6.796968731994283,9.50599319030147,0.7150193142289349,2023-24,6.367182028684416,0.6698071312717288
Ohio,39,2023-10-07,3,8.92478161230063,11.69066560739518,0.7634109050775576,2023-24,8.634874803367572,0.7386127610993678
Oklahoma,40,2023-10-07,0,15.15184774615748,8.550333578248827,1.7720767976470801,2023-24,15.324159429450367,1.7922294246429706
Oklahoma,40,2023-10-07,1,5.162864361163541,8.31151069467216,0.6211703925825467,2023-24,5.293605862608294,0.6369005656217946
Oklahoma,40,2023-10-07,2,6.29422838316469,12.587132748784002,0.5000525940884156,2023-24,5.533181491969585,0.4395903024462919
Oklahoma,40,2023-10-07,3,9.882181327288128,12.715582797414926,0.7771709315043879,2023-24,8.73315352094811,0.6868071766811629
Oregon,41,2023-10-07,0,1.1825648830407076,2.7484886217557816,0.4302600613588369,2023-24,1.2129500220448515,0.44131527867486614
Oregon,41,2023-10-07,1,2.1490743010371127,4.403661788813544,0.4880198353325692,2023-24,2.0207118346160384,0.45887080605263025
Oregon,41,2023-10-07,2,4.695331901456349,7.06373449669279,0.664709567390264,2023-24,4.61948306960194,0.653971786703586
Oregon,41,2023-10-07,3,4.2977796659746765,6.93579147811044,0.6196523755851937,2023-24,3.756383688236393,0.5415940920501502
Pennsylvania,42,2023-10-07,0,4.927995392525471,13.630984554454239,0.36152893966233235,2023-24,5.661942626357331,0.41537297645217863
Pennsylvania,42,2023-10-07,1,7.403360246055833,16.802264338339036,0.4406168178870397,2023-24,8.587981929411221,0.5111205106930352
Pennsylvania,42,2023-10-07,2,12.742526906981983,17.19238176318719,0.7411728684542499,2023-24,15.001250719411273,0.8725522109759319
Pennsylvania,42,2023-10-07,3,17.777603252717785,23.6235811599855,0.752536337836456,2023-24,19.276895176966153,0.8160022414221463
South Carolina,45,2023-10-07,0,4.593804159954871,3.5438013842747123,1.2962927833200382,2023-24,4.655100812431228,1.3135896478532356
South Carolina,45,2023-10-07,1,8.577694377818002,4.648489975530189,1.8452646822885024,2023-24,8.804885804926688,1.8941389249575473
South Carolina,45,2023-10-07,2,8.127462019225794,6.4435141442283985,1.261339982702722,2023-24,6.690619493771577,1.0383494695614996
South Carolina,45,2023-10-07,3,17.79307110265549,9.427608459715033,1.8873366642968663,2023-24,17.53062912158831,1.8594990655899815
Tennessee,47,2023-10-07,0,4.75330384541354,8.598758386692564,0.5527895577075117,2023-24,4.711792891960371,0.5479620056835578
Tennessee,47,2023-10-07,1,9.739501935903808,8.24531271884457,1.1812168037780164,2023-24,9.519153631570209,1.1544927349831486
Tennessee,47,2023-10-07,2,14.193947231813961,10.110052510090316,1.4039439674173524,2023-24,13.566771802687551,1.3419091334241107
Tennessee,47,2023-10-07,3,20.67164474621195,12.032386021577608,1.7180004621811176,2023-24,19.18029530164494,1.5940558478799656
Texas,48,2023-10-07,0,24.994092651621376,26.319990482470036,0.9496239243805292,2023-24,24.411415287207202,0.9274857186390699
Texas,48,2023-10-07,1,60.94880753491885,59.693158754152776,1.02103505337919,2023-24,58.540877606212156,0.980696596193103
Texas,48,2023-10-07,2,69.20146102234754,61.5457953631493,1.1243897428577565,2023-24,68.68274189535917,1.1159615614697724
Texas,48,2023-10-07,3,123.52298491064393,107.77716819644283,1.1460960329325185,2023-24,124.6763933520234,1.1567978212674763
Utah,49,2023-10-07,0,1.3156244600624238,1.3305795579694932,0.9887604632000424,2023-24,1.4840002264616396,1.1153036416148399
Utah,49,2023-10-07,1,2.752810031546588,2.631319322432354,1.0461710245801448,2023-24,2.7859521954670345,1.0587662894869558
Utah,49,2023-10-07,2,4.329789581060497,1.9768000294350774,2.190302264563325,2023-24,4.912839914243333,2.485248806702672
Utah,49,2023-10-07,3,6.401982867538032,2.8848224646594285,2.219194749751724,2023-24,7.329222700316867,2.5406148177586827
Virginia,51,2023-10-07,0,7.137617001514792,6.05426934832392,1.178939454269703,2023-24,7.2815008124469855,1.2027051314561708
Virginia,51,2023-10-07,1,13.936018664855377,9.769184555715125,1.4265283438321972,2023-24,14.292564439147426,1.4630253280235201
Virginia,51,2023-10-07,2,21.062596739451752,9.816431310421798,2.1456470354038184,2023-24,23.172777698162676,2.3606112002801733
Virginia,51,2023-10-07,3,33.941900347786266,12.104762209796009,2.80401215319357,2023-24,39.62418753415297,3.2734379120711967
Washington,53,2023-10-07,0,21.103707920626125,20.044629851841982,1.0528360002959505,2023-24,20.886601272576094,1.042004837552874
