Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.029782547269587845e+00 3.936950427247645073e-03 3.287743730166107525e+01 5.191016009555176058e-01 3.738767657911351017e-01 2.573998256003559248e+01
1.012645642722943995e+00 6.486494704768173275e-03 3.281641064166166188e+01 5.821424569164713736e-01 3.657065484011539080e-01 2.441195149982154788e+01
1.077287210891904046e+00 5.810388032031730404e-02 2.931634156867760765e+01 4.540830355099023663e-01 3.386918346579902428e-01 2.475274426030889430e+01
1.032986383804330055e+00 9.265576208028876437e-02 2.429726773318722266e+01 5.324934649714903045e-01 5.067254781155511312e-01 3.172681278763216284e+01
1.042862768875146839e+00 1.109753904984525225e-01 2.542738047541583057e+01 5.429905820080673795e-01 4.890385849238073623e-01 3.191458115156442332e+01
1.052020471976921057e+00 1.032218332237043873e-01 3.043800665063033151e+01 5.350220873641432506e-01 4.267225735879212611e-01 3.214808681384798916e+01
1.094364933702601350e+00 1.046355434040574239e-01 2.687110614245978368e+01 5.451391900577468030e-01 4.500593115699312308e-01 2.992881849228464830e+01
1.087792560651197116e+00 1.139361980963777138e-01 1.905782905867772570e+01 5.695102836862749873e-01 4.649487147930564390e-01 3.074224013745443429e+01
1.069775839678509088e+00 4.225372230182404543e-02 3.209329658392004347e+01 4.986558368055561408e-01 3.390325247888422155e-01 3.292676476202531433e+01
1.034575360367580688e+00 8.678337990990091233e-02 4.895146170436019872e+01 5.497154315385116563e-01 4.169095137546310337e-01 3.377998603773452402e+01
1.030379953177794405e+00 1.165234084357611444e-01 4.729282723239712993e+01 5.447763301876462627e-01 4.158282743548566973e-01 3.488367805786182174e+01
1.012313148718666511e+00 7.860196236966809913e-02 4.010937243441556177e+01 5.753448999533109509e-01 4.022212397929630368e-01 3.407099494445120769e+01
1.037838933480577763e+00 1.213838456808415123e-01 3.980222925714195270e+01 5.281311192427879941e-01 4.494508985808059465e-01 3.528005895506657197e+01
1.040171604122386517e+00 8.644052590258087532e-02 4.110801369044968823e+01 4.641601637659422686e-01 2.505670755026330188e-01 2.740419455338771826e+01
1.102458899906253231e+00 9.379488383699668974e-02 4.595479173919174087e+01 5.907350179706997162e-01 2.925322584911134172e-01 2.410870045491056146e+01
1.013630902076722018e+00 1.262465184891604364e-01 3.943877742819292109e+01 5.339601102144151401e-01 3.165201600519919611e-01 2.212154645989961210e+01
1.129899111321836624e+00 5.658360692719843071e-02 6.004540032528746352e+00 4.640429316602224241e-01 3.582478386506804946e-01 2.326729105829740263e+01
1.055035044797255184e+00 1.161914060930353820e-01 4.055219701584766057e+01 5.559682598276721732e-01 3.735641820267753266e-01 2.473174554446894291e+01
1.076163326968484046e+00 4.049289694392347455e-02 2.449598707410264353e+01 5.020396164173490661e-01 3.983163512751462521e-01 1.874808239220356398e+01
1.053968507531727328e+00 1.046813525958527197e-01 2.983667329603348151e+01 5.067752819254138785e-01 4.101425648828254111e-01 2.426565076968785917e+01
1.082648281907904186e+00 9.984785100171116035e-02 3.527394484113851547e+01 5.109522996587980703e-01 3.878358576600796637e-01 2.363558442636798773e+01
1.103584553079685948e+00 1.757854441267008710e-02 1.890877625010785579e+01 5.635717603458434422e-01 3.956519373457470512e-01 1.945173011354870596e+01
1.157782828100216932e+00 2.890322375724584808e-02 1.777157059250249560e+01 5.786136152525054310e-01 4.153048003228386187e-01 1.684578396089461449e+01
1.145326039290811337e+00 1.152170225510151802e-02 2.046827557033743261e+01 5.305963692380932795e-01 4.494898606682588005e-01 2.076490866680331138e+01
1.131757448660507981e+00 2.994236411495753217e-03 1.255961866772996594e+01 5.715052675437817253e-01 4.484486477860077369e-01 2.037818322959914852e+01
1.158956678647250049e+00 2.773402685607474424e-02 2.655013200667424655e+01 5.561839402338276672e-01 4.565254061257385532e-01 2.039956729812414338e+01
1.086490897329962291e+00 5.859219145345254121e-02 1.011308908992348421e+01 5.335520357008809444e-01 3.893189221876279249e-01 2.225686386677734774e+01
1.046278644314218242e+00 4.584372569221216442e-02 3.032969886914083446e+01 5.421417384395376127e-01 4.275285681781849090e-01 1.802773256599173379e+01
1.084664225217658817e+00 3.739164209924678017e-02 3.289638020629706716e+01 5.760005073246262652e-01 4.248196495006589801e-01 1.441255226253510813e+01
1.066734805750216397e+00 1.347180296318965798e-03 1.980330191515425753e+01 5.493117091903506610e-01 4.696821051812141157e-01 1.868125267930698286e+01
1.066734805750216397e+00 1.347180296318965798e-03 1.980330191515425753e+01 5.493117091903506610e-01 4.696821051812141157e-01 1.868125267930698286e+01
1.079324317170994529e+00 3.705249251899304930e-02 2.441091961289961532e+01 5.890959327064104745e-01 4.386318543548669568e-01 1.645518831593158282e+01
1.044189902729657060e+00 1.213465137951106332e-01 2.419316818643182287e+01 5.775735395136218919e-01 3.969432625082346400e-01 1.903085529707954748e+01
1.050804408091357667e+00 1.248460177574972768e-01 3.279931293073712339e+01 5.835718481551214198e-01 4.091469020916436161e-01 2.118145835194648896e+01
1.050804408091357667e+00 1.248460177574972768e-01 3.279931293073712339e+01 5.835718481551214198e-01 4.091469020916436161e-01 2.118145835194648896e+01
1.085886497187429356e+00 1.594821141987010915e-01 0.000000000000000000e+00 5.245563711096022930e-01 3.731771957883028290e-01 2.926031188950585715e+01
1.142257507196235533e+00 1.174209919790365902e-01 5.290747781008130701e+00 5.369141194941396966e-01 3.830270747559462174e-01 2.625589676288949903e+01
1.133682500075616106e+00 1.130676052124866687e-01 7.408881711195086872e+00 5.836600843939332428e-01 4.020638632654349731e-01 2.838764569315713615e+01
1.095473881198579358e+00 1.031991793748592290e-01 1.155989488427752043e+01 5.072798842444232736e-01 4.138800921975542835e-01 3.126207242576828804e+01
1.145459862554814690e+00 6.291549902890465618e-02 8.794239795987524033e+00 5.502387972983717734e-01 3.322630574783249080e-01 3.121583353429972263e+01
1.172140950526962211e+00 1.054244455590561402e-01 7.664912000704371842e+00 6.036002476534475525e-01 3.231659482364101499e-01 3.009180990444976800e+01
1.172057635521443375e+00 9.446619322996099855e-02 6.430931965117656191e+00 6.101048887805959886e-01 3.146001282124038512e-01 2.948019786310493018e+01
1.172057635521443375e+00 9.446619322996099855e-02 6.430931965117656191e+00 6.101048887805959886e-01 3.146001282124038512e-01 2.948019786310493018e+01
1.148804332060620714e+00 9.413879134950861594e-02 1.154774201963823010e+01 5.956526898426547367e-01 3.115278533379677306e-01 2.995397976285153163e+01
1.126340609462874731e+00 1.508885921214813408e-01 9.464573247713961024e-01 5.868782602414096550e-01 3.883105311331577214e-01 2.983854486123136240e+01
1.131760349772813035e+00 1.545059461413024193e-01 1.552980370253654208e+00 5.645255908223468788e-01 3.921103677834847367e-01 3.104896613793610172e+01
1.140353324657312761e+00 1.864560861372157874e-01 7.191310590748757114e+00 5.553964730391127702e-01 3.846319967004885876e-01 2.851596365700078906e+01
1.140197472670520629e+00 1.255577773398916241e-01 1.014667288048954319e+01 5.696094479086067919e-01 3.876997893917959459e-01 2.660643656978439964e+01
1.140197472670520629e+00 1.255577773398916241e-01 1.014667288048954319e+01 5.696094479086067919e-01 3.876997893917959459e-01 2.660643656978439964e+01
1.111727373628460303e+00 1.508875817417698051e-01 3.457287193606381592e+00 5.526496884238916163e-01 3.782616678887341655e-01 2.831409590979708568e+01
1.102705641472700115e+00 1.534510678312721310e-01 7.688982828462934904e+00 5.599169488527926397e-01 3.233251305518912155e-01 2.694277150467950932e+01
1.091816707981585699e+00 6.569129148208367741e-02 0.000000000000000000e+00 5.613423324634194689e-01 3.744385577174093593e-01 3.047847546931218332e+01
1.136812483344968205e+00 9.863404980258753951e-02 6.487646675353401449e+00 5.467525742573086101e-01 3.580058909593918925e-01 3.332386956229563424e+01
1.136812483344968205e+00 9.863404980258753951e-02 6.487646675353401449e+00 5.467525742573086101e-01 3.580058909593918925e-01 3.332386956229563424e+01
1.133643170520276078e+00 1.144277457091343597e-01 0.000000000000000000e+00 5.545864704732910155e-01 3.800104282377010922e-01 3.097129558793307424e+01
1.083007713291488372e+00 6.976119898819227449e-02 0.000000000000000000e+00 5.495217216976748809e-01 4.032789436187582122e-01 3.250060657001738207e+01
1.115933890304786402e+00 8.886957473631838800e-02 0.000000000000000000e+00 5.911126483010581412e-01 3.653871586882015410e-01 3.265323295682272686e+01
1.115933890304786402e+00 8.886957473631838800e-02 0.000000000000000000e+00 5.911126483010581412e-01 3.653871586882015410e-01 3.265323295682272686e+01
1.141222391655973389e+00 1.009928904061129784e-01 3.993908617023102181e+00 5.520937899890678846e-01 3.837617129442658648e-01 2.856003026310888515e+01
1.124138343219696967e+00 1.232753092915379184e-01 5.389885410375173436e+00 5.811874269514570868e-01 3.629244725235837299e-01 2.894108156649222252e+01
1.165098543241801288e+00 8.154964007803573722e-02 0.000000000000000000e+00 5.893298686638002160e-01 3.583441368947679062e-01 3.132173770297692883e+01
1.116162686901843948e+00 1.035164031842621679e-01 7.067018220369385872e+00 5.756816698665373488e-01 3.976746089801661554e-01 2.920689513660339998e+01
1.122559433974507526e+00 1.291918346677948526e-01 0.000000000000000000e+00 5.971217695234261047e-01 3.510211757248693498e-01 3.031382160728335506e+01
1.142100663691567819e+00 1.295636962698472061e-01 6.964014006487204256e+00 6.124855996428703042e-01 4.069106449344671583e-01 3.158973448389799543e+01
1.144660542570505202e+00 1.067081589491735705e-01 0.000000000000000000e+00 6.008495478839336323e-01 3.881704701613797881e-01 3.188434363093623247e+01
1.155418936320013135e+00 1.007901975588665483e-01 2.982371257754333982e+00 5.886200248407628122e-01 3.721630920580205615e-01 3.110388897590642188e+01
1.134972926845426278e+00 9.777641535403523709e-02 3.094988304533484502e+00 5.782771002076996236e-01 3.716026761916645382e-01 3.121032782333217526e+01
1.075879985823203322e+00 1.217383476297197314e-01 1.393691611788043261e+01 5.728110274738006380e-01 3.744109236672708563e-01 2.640278000364898148e+01
1.087900131123731962e+00 1.029510825223732690e-01 7.561529127512465642e+00 5.524560827473434799e-01 3.657807121055821620e-01 2.408272833370153521e+01
1.093496899244007059e+00 7.224516974064182362e-02 9.907355209610042124e+00 4.487091099130854355e-01 3.373169491826825128e-01 2.389262058462493954e+01
1.070431192994214520e+00 3.657624682091401708e-02 1.227345324681920502e+01 4.963565691311442318e-01 3.093406021364724090e-01 2.328553142382687469e+01
1.054759387560465944e+00 1.578129678425749804e-01 1.058640716848525543e+01 4.533416678266934952e-01 3.353168361863196334e-01 2.475688466353629380e+01
1.103492021674979728e+00 4.572572372695927340e-02 5.778867878639162292e+00 6.260287619358291256e-01 4.406241435460001576e-01 2.676813217754220631e+01
1.094651895731997504e+00 7.025090882432023787e-02 4.396543831130576230e+00 5.734651384616767933e-01 4.282911581040133031e-01 2.708589001889610515e+01
