Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.033054152704304673e+00 2.103513786388949980e-01 4.456106041316667188e+01 3.791114469488298111e-01 1.730804908365355943e-01 3.350372041114879096e+01
9.849355973501715544e-01 2.134726672254904090e-01 3.568866881315852169e+01 3.840562566120660493e-01 2.006406084904006348e-01 3.178030733254744788e+01
9.849355973501715544e-01 2.134726672254904090e-01 3.568866881315852169e+01 3.840562566120660493e-01 2.006406084904006348e-01 3.178030733254744788e+01
1.132351812191676244e+00 4.595000330635770625e-02 4.177777301204788074e+01 3.813740580617703269e-01 2.430100596038203831e-01 1.960572886038474039e+01
1.132351812191676244e+00 4.595000330635770625e-02 4.177777301204788074e+01 3.813740580617703269e-01 2.430100596038203831e-01 1.960572886038474039e+01
8.740496630644779552e-01 4.595479306246959272e-02 4.670063198503409296e+01 3.431896134459461178e-01 4.030693756827016805e-01 2.513024110907978681e+01
9.276815776195330709e-01 5.396171755433158690e-02 3.426640817798465122e+01 1.542427136973902324e-01 3.587350785669069508e-01 2.142472250258931865e+01
9.477440190192097935e-01 5.690749987685085609e-02 3.931973454261424195e+01 9.895097625531788788e-02 3.787357816781248832e-01 2.157740270973370755e+01
1.001826378376734938e+00 6.437857300384927650e-02 2.976409401152837475e+01 1.112094368398812427e-01 3.879367142204221408e-01 2.346858070501874138e+01
9.853351580263056686e-01 1.569998849902866644e-01 4.952689655847548522e+01 4.078045645122201912e-01 3.559210151333725425e-01 2.820756385240740372e+01
9.106894771023995583e-01 5.588275924915321602e-02 3.768033895997317018e+01 1.703658935132054963e-01 3.926898821496633829e-01 3.179594348473981569e+01
9.106894771023995583e-01 5.588275924915321602e-02 3.768033895997317018e+01 1.703658935132054963e-01 3.926898821496633829e-01 3.179594348473981569e+01
9.135641638016904764e-01 5.095157133896621032e-02 3.906780277972428195e+01 1.762550126035249132e-01 4.194038592518943287e-01 3.089171474279792307e+01
9.135641638016904764e-01 5.095157133896621032e-02 3.906780277972428195e+01 1.762550126035249132e-01 4.194038592518943287e-01 3.089171474279792307e+01
